Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Apple inc,AAPL,"",142076403.0,25228507000.0,5.18491,,1,142076403.0,,new,0.8705960,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,177.57,165.29
Microsoft corp.,MSFT,"",72555721.0,24401940000.0,5.01503,,2,72555721.0,,new,0.9678140,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,336.32,279.83
Alphabet inc. class a,GOOGL,"",4997398.0,14477662000.0,2.97542,,3,4997398.0,,new,1.6616181,Q4 2021,COMMUNICATIONS,13F,12/31/2021,2897.04,2534.6
Amazon.com inc.,AMZN,"",4214854.0,14053756000.0,2.8883,,4,4214854.0,,new,0.8283188,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,3334.34,3034.13
Meta platforms  inc.,FB,"",28527168.0,9595113000.0,1.97197,,5,28527168.0,,new,1.2354344,Q4 2021,COMMUNICATIONS,13F,12/31/2021,336.35,210.18
Tesla inc,TSLA,"",7493333.0,7918804000.0,1.62746,,6,7493333.0,,new,0.7461511,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,1056.78,985.0
Nvidia corp.,NVDA,"",21349893.0,6279217000.0,1.29049,,7,21349893.0,,new,0.8505933,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,294.11,212.58
Unitedhealth group inc.,UNH,"",8918201.0,4478185000.0,0.920347,,8,8918201.0,,new,0.9478381,Q4 2021,HEALTH CARE,13F,12/31/2021,502.14,534.82
Home depot  inc. (the),HD,"",10422951.0,4325629000.0,0.888994,,9,10422951.0,,new,1.0086565,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,415.01,304.52
Johnson & johnson co.,JNJ,"",24393111.0,4172929000.0,0.857611,,10,24393111.0,,new,0.9277529,Q4 2021,HEALTH CARE,13F,12/31/2021,171.07,179.9
Jpmorgan chase & co. (chemical bank),JPM,"",25846816.0,4092843000.0,0.841152,,11,25846816.0,,new,0.8753298,Q4 2021,FINANCE,13F,12/31/2021,158.35,126.12
Bank of america corp. (north carolina national bank),BAC,"",88519806.0,3938246000.0,0.80938,,12,88519806.0,,new,1.0975995,Q4 2021,FINANCE,13F,12/31/2021,44.49,37.57
Procter & gamble co. (oh) (1905),PG,"",22781531.0,3726603000.0,0.765883,,13,22781531.0,,new,0.9414059,Q4 2021,CONSUMER STAPLES,13F,12/31/2021,163.58,158.57
Pfizer  inc.,PFE,"",56763604.0,3351891000.0,0.688873,,14,56763604.0,,new,1.0050615,Q4 2021,HEALTH CARE,13F,12/31/2021,59.05,53.12
Exxonmobil corp. (standard oil of new jersey),XOM,"",52041576.0,3184424000.0,0.654456,,15,52041576.0,,new,1.2292533,Q4 2021,ENERGY,13F,12/31/2021,61.19,87.83
Chevron corp. (standard oil of california),CVX,"",26515497.0,3111594000.0,0.639488,,16,26515497.0,,new,1.3614773,Q4 2021,ENERGY,13F,12/31/2021,117.35,171.59
Mastercard inc,MA,"",8647501.0,3107220000.0,0.638589,,17,8647501.0,,new,0.8917437,Q4 2021,FINANCE,13F,12/31/2021,359.32,357.82
Berkshire hathaway inc class a,BRK.A,"",6752.0,3042870000.0,0.625364,,18,6752.0,,new,1.0984363,Q4 2021,FINANCE,13F,12/31/2021,450662.0,516435.0
Alexandria real estate equities  inc.,ARE,"",13487741.0,3007227000.0,0.618039,,19,13487741.0,,new,8.4328249,Q4 2021,REAL ESTATE,13F,12/31/2021,222.96,196.18
Ubs group ag adr,UBS,"",164210045.0,2957133000.0,0.607744,,20,164210045.0,,new,4.4352049,Q4 2021,FINANCE,13F,12/31/2021,17.87,17.61
Walmart inc,WMT,"",20221520.0,2925852000.0,0.601315,,21,20221520.0,,new,0.7289981,Q4 2021,CONSUMER STAPLES,13F,12/31/2021,144.69,157.08
Thermo fisher scientific  inc.,TMO,"",4172455.0,2784029000.0,0.572168,,22,4172455.0,,new,1.0666009,Q4 2021,HEALTH CARE,13F,12/31/2021,667.24,568.9
Visa inc,V,"",12646286.0,2740577000.0,0.563237,,23,12646286.0,,new,0.7625486,Q4 2021,FINANCE,13F,12/31/2021,216.71,212.79
Equity residential,EQR,"",30158685.0,2729361000.0,0.560932,,24,30158685.0,,new,8.0226927,Q4 2021,REAL ESTATE,13F,12/31/2021,90.5,90.43
Nextera energy inc.,NEE,"",29178009.0,2724059000.0,0.559843,,25,29178009.0,,new,1.4865919,Q4 2021,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,93.36,82.81
T-mobile us inc,TMUS,"",23356719.0,2708912000.0,0.55673,,26,23356719.0,,new,1.8695995,Q4 2021,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,115.98,132.96
Salesforce.com inc.,CRM,"",10581316.0,2689030000.0,0.552644,,27,10581316.0,,new,1.0688198,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,254.13,189.41
Netflix inc,NFLX,"",4335950.0,2612150000.0,0.536843,,28,4335950.0,,new,0.9814393,Q4 2021,COMMUNICATIONS,13F,12/31/2021,602.44,341.13
Linde plc (praxair inc.),LIN,"",7472919.0,2589853000.0,0.532261,,29,7472919.0,,new,1.4579748,Q4 2021,MATERIALS,13F,12/31/2021,346.43,318.52
Comcast corp.  class a,CMCSA,"",49811739.0,2507025000.0,0.515238,,30,49811739.0,,new,1.1011073,Q4 2021,COMMUNICATIONS,13F,12/31/2021,50.33,47.58
Cisco systems  inc.,CSCO,"",39331388.0,2492430000.0,0.512239,,31,39331388.0,,new,0.9467934,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,63.37,51.17
Abbvie inc,ABBV,"",17970964.0,2433269000.0,0.50008,,32,17970964.0,,new,1.0174442,Q4 2021,HEALTH CARE,13F,12/31/2021,135.4,162.31
Broadcom ltd. (avago technologies),AVGO,"",3612510.0,2403800000.0,0.494024,,33,3612510.0,,new,0.8848094,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,665.41,573.85
Adobe systems  inc.,ADBE,"",4195022.0,2378829000.0,0.488892,,34,4195022.0,,new,0.8881159,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,567.06,420.44
Accenture plc,ACN,"",5659626.0,2346198000.0,0.482186,,35,5659626.0,,new,0.8543679,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,414.55,319.47
Costco co.,COST,"",4093264.0,2323746000.0,0.477571,,36,4093264.0,,new,0.9235198,Q4 2021,CONSUMER STAPLES,13F,12/31/2021,567.7,590.39
Walt disney co. (the),DIS,"",14789436.0,2290736000.0,0.470787,,37,14789436.0,,new,0.8123237,Q4 2021,COMMUNICATIONS,13F,12/31/2021,154.89,130.47
Abbott laboratories,ABT,"",16276274.0,2290723000.0,0.470784,,38,16276274.0,,new,0.9229622,Q4 2021,HEALTH CARE,13F,12/31/2021,140.74,117.69
Qualcomm inc.,QCOM,"",12396364.0,2266923000.0,0.465893,,39,12396364.0,,new,1.1018192,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,182.87,136.91
Alphabet inc. class c,GOOG,"",777267.0,2249092000.0,0.462229,,40,777267.0,,new,0.2462515,Q4 2021,COMMUNICATIONS,13F,12/31/2021,2893.59,2545.06
Coca cola co.,KO,"",37527894.0,2222027000.0,0.456666,,41,37527894.0,,new,0.8656964,Q4 2021,CONSUMER STAPLES,13F,12/31/2021,59.21,65.02
Lilly (eli) & co.,LLY,"",8014500.0,2213765000.0,0.454968,,42,8014500.0,,new,0.8415524,Q4 2021,HEALTH CARE,13F,12/31/2021,276.22,301.86
Pepsico inc. (loft  inc.),PEP,"",12554974.0,2180925000.0,0.448219,,43,12554974.0,,new,0.9080351,Q4 2021,CONSUMER STAPLES,13F,12/31/2021,173.71,171.9
Intel corp.,INTC,"",40393163.0,2080248000.0,0.427528,,44,40393163.0,,new,0.9919736,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,51.5,45.67
Mcdonalds corp.,MCD,"",7685774.0,2060325000.0,0.423434,,45,7685774.0,,new,1.0336111,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,268.07,250.51
Danaher corp.,DHR,"",6127135.0,2015889000.0,0.414301,,46,6127135.0,,new,0.8565196,Q4 2021,HEALTH CARE,13F,12/31/2021,329.01,276.98
Nike inc.,NKE,"",11367887.0,1894686000.0,0.389392,,47,11367887.0,,new,0.7188972,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,166.67,133.46
Verizon communications (bell atlantic corp.),VZ,"",36276315.0,1884917000.0,0.387384,,48,36276315.0,,new,0.8641696,Q4 2021,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,51.96,53.83
Paypal holdings inc,PYPL,"",9936783.0,1873879000.0,0.385116,,49,9936783.0,,new,0.8529391,Q4 2021,COMMUNICATIONS,13F,12/31/2021,188.58,102.31
Berkshire hathaway inc class b,BRK.B,"",6218328.0,1859280000.0,0.382115,,50,6218328.0,,new,0.4829268,Q4 2021,FINANCE,13F,12/31/2021,299.0,344.33
Merck & co,MRK,"",23786901.0,1823028000.0,0.374665,,51,23786901.0,,new,0.9417034,Q4 2021,HEALTH CARE,13F,12/31/2021,76.64,86.91
Lowes companies  inc.,LOW,"",6775117.0,1751232000.0,0.359909,,52,6775117.0,,new,1.0241102,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,258.48,201.28
At&t inc. (southwestern bell - sbc corp.),T,"",93651688.9,1740054000.0,0.357612,,53,93651688.9,,new,0.9902697,Q4 2021,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,24.6,19.54
Toronto-dominion bank (the),TD,"",22132369.0,1698122000.0,0.348994,,54,22132369.0,,new,1.2168724,Q4 2021,FINANCE,13F,12/31/2021,76.68,74.5
Royal bank of canada (nyse),RY,"",15402951.0,1635969000.0,0.336221,,55,15402951.0,,new,1.0866100,Q4 2021,FINANCE,13F,12/31/2021,106.14,108.51
Shopify inc,SHOP,"",1145876.0,1578341000.0,0.324377,,56,1145876.0,,new,1.0052056,Q4 2021,COMMUNICATIONS,13F,12/31/2021,1377.39,579.51
Morgan stanley,MS,"",16059749.0,1576425000.0,0.323983,,57,16059749.0,,new,0.8949867,Q4 2021,FINANCE,13F,12/31/2021,98.16,84.76
Wells fargo & co.  (northwest bancorporation),WFC,"",32648405.0,1566470000.0,0.321938,,58,32648405.0,,new,0.8588095,Q4 2021,FINANCE,13F,12/31/2021,47.98,46.35
Texas instruments  inc.,TXN,"",8143948.0,1534890000.0,0.315447,,59,8143948.0,,new,0.8824516,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,188.47,173.66
Autodesk  inc.,ADSK,"",5351912.0,1504904000.0,0.309285,,60,5351912.0,,new,2.4628236,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,281.19,196.73
Boston properties  inc.,BXP,"",13037554.0,1501665000.0,0.308619,,61,13037554.0,,new,8.3463345,Q4 2021,REAL ESTATE,13F,12/31/2021,115.18,124.59
Avalonbay communities  inc.,AVB,"",5936186.0,1499421000.0,0.308158,,62,5936186.0,,new,4.2476425,Q4 2021,REAL ESTATE,13F,12/31/2021,252.59,246.61
Intuit  inc.,INTU,"",2320266.0,1492441000.0,0.306723,,63,2320266.0,,new,0.8204256,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,643.22,465.11
Union pacific corp.,UNP,"",5753685.0,1449526000.0,0.297903,,64,5753685.0,,new,0.9033906,Q4 2021,TRANSPORTS,13F,12/31/2021,251.93,246.21
Advanced micro devices inc,AMD,"",9889729.0,1423132000.0,0.292479,,65,9889729.0,,new,0.8246228,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,143.9,93.06
Bristol-myers squibb co,BMY,"",22677818.0,1413962000.0,0.290594,,66,22677818.0,,new,1.0404039,Q4 2021,HEALTH CARE,13F,12/31/2021,62.35,77.51
United parcel service  inc. class b,UPS,"",6527645.0,1399135000.0,0.287547,,67,6527645.0,,new,0.8900911,Q4 2021,TRANSPORTS,13F,12/31/2021,214.34,188.02
Invitation homes inc,INVH,"",29983864.0,1359468000.0,0.279395,,68,29983864.0,,new,4.9343795,Q4 2021,REAL ESTATE,13F,12/31/2021,45.34,41.95
Medtronic plc,MDT,"",13042271.0,1349223000.0,0.277289,,69,13042271.0,,new,0.9721871,Q4 2021,HEALTH CARE,13F,12/31/2021,103.45,109.02
Cvs health corp. (melville shoe),CVS,"",13055500.0,1346805000.0,0.276792,,70,13055500.0,,new,0.9946969,Q4 2021,CONSUMER STAPLES,13F,12/31/2021,103.16,103.68
Welltower inc.,WELL,"",15559841.0,1334568000.0,0.274278,,71,15559841.0,,new,3.4787725,Q4 2021,REAL ESTATE,13F,12/31/2021,85.77,96.03
