Summary data collected by the Greenhouse Gas Reporting Program for 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 08/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4 (see FAQs tab),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Quantity of CO2 Received for Injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002515,110043804096,ARTESIA GAS PLANT,ARTESIA,NM,88210,,EDDY COUNTY,32.7564,-104.2111,211130,"C,PP,UU,W-PROC",confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010508,110070082088,Adair San Andres CO2 Injection Unit - Permian Basin 430,Houston,TX,77056,"2000 Post Oak Blvd, Suite 100",HARRIS COUNTY,29.7446,-95.4612,211120,UU,confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009998,110058379767,Albert Spicer Upper Morrow Unit,Booker,TX,79005,,OCHILTREE COUNTY,36.4725,-100.5517,211120,UU,confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007367,110000709779,BPE GPRP Grasslands Gas Plant,Cartwright,ND,58838,,MCKENZIE COUNTY,47.59043,-104.0005,211130,"C,NN-FRAC,PP,UU,W-PROC",confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011121,110058238991,Bell Creek EOR Facility,Belle Creek,MT,59317,2 Encore Road,POWDER RIVER COUNTY,45.354589,-105.67196,211120,UU,confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011485,110063697156,Big Sand Draw CO2 Facility,Oklahoma City,OK,73102,333 West Sheridan Ave,OKLAHOMA COUNTY,35.46646,-97.51827,211120,UU,confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
